Director,count
"Rossellini, Roberto",4
"Totten, Robert",1
"Dearden, Basil",2
"Paris, Jerry",1
"Mizrahi, Moshe",1
"Zwick, Edward",1
"Jackson, Mick",1
"Keach, James",1
"Altman, Robert",2
"Fitzmaurice, George",1
"Logan, Joshua",3
"Ward, David S.",1
"Arnold, Newt",1
"Szwarc, Jeannot",1
"Glen, John",3
"Gilbert, Lewis",4
"Litvak, Anatole",2
"Feferman, Linda",1
"Comeau, Alain",1
"Brooks, Richard",2
"Damski, Mel",1
"Lovy, Steven",1
"Boisrond, Michel",2
"McCarey, Leo",1
"Hyams, Peter",3
"Brest, Martin",1
"Casden, Ron",1
"Walters, Charles",1
"Peckinpah, Sam",1
"Crichton, Charles",1
"Preminger, Otto",1
"Apted, Michael",2
"Vadim, Roger",3
"Mulcahy, Russell",1
"Marshall, Garry",2
"Sonnenfeld, B.",1
"Compton, Richard",1
"Boulting, John",1
"Schumacher, Joel",2
"Losey, Joseph",1
"Wolfe, Donald",1
"Jones, David",1
"Scott, Ridley",4
"Dwan, Allan",2
"Karlson, Phil",1
"Corman, Roger",5
"Rifkin, Adam",1
"Coppola, Christopher",1
"Vorhaus, Bernard",1
"Vanwagenen, Sterling",1
"Wertmuller, Lina",1
"Kellogg, Ray",1
"Newell, Mike",1
"Golden, Dan",1
"Blier, Bertrand",4
"Avildsen, John G.",3
"Barry, Michael",1
"Fraker, William A.",1
"Prince, Harold",1
"Mastorakis, Nico",1
"Roeg, Nicolas",3
"Hermoso, Miguel",1
"Lisberger, Steven",1
"Jones, Terry",3
"Huston, John",9
"Wellman, William",4
"Beresford, Bruce",4
"Jaglom, Henry",1
"Stevens, George",2
"Walsh, Raoul",2
"Mazursky, Paul",1
"Richardson, Tony",2
"Tatoulis, Colin South, John",1
"Truffaut, Fran�ois",3
"Seaton, George",1
"Reiner, Carl",2
"Segal, Alex",1
"Bondarchuk, Sergei",1
"Antonio, Lou",1
"Molinaro, Edouard",1
"Cassavetes, John",1
"Vigne, Daniel",2
"Mackendrick, Alexander",2
"Axel, Gabriel",1
"Szab�, Istv�n",2
"Franklin, Howard",1
"Dragoti, Stan",1
"Joffe, Roland",4
"Fisher, Jack",1
"Kloves, Steve",1
"Kaufman, Philip",1
"Bernds, Edward",1
"Menendez, Ramon",1
"Lang, Walter",1
"Loncraine, Richard",1
"Smith, Charles Martin",1
"Fleischer, Richard",1
"Bertolucci, Bernardo",8
"Allegret, Marc",1
"Lathan, Stan",1
"O'Herlihy, Michael",1
"Rappeneau, Jean-Paul",1
"Hutton, Brian G.",2
"Taylor, Ray",20
Costa-Gavras,2
"Owen, Cliff",1
"Taurog, Norman",1
"Donaggio, Michael Winner",1
"Dell, Stewart",1
"Young, Terrence",1
"Mankiewicz, Joseph L.",4
"Patterson, Willi",1
"Waggner, George",1
"Schultz, Michael",1
"Stern, Steven Hilliard",2
"Schl�ndorff, Volker",1
"Kronsberg, Jeremy Joe",1
"Roth, Bobby",1
"Nicholson, Arch",2
"Lambert, Bruce",5
"Kollek, Amos",1
"Loma, Jos� Antonio de la",1
"Almod�var, Pedro",6
"Huyck, Willard",1
"Cornell, John",1
"Bogart, Paul",1
"Winning, David",2
"Benjamin, Richard",1
"Gottlieb, Michael",1
"Kurosawa, Akira",14
"Beatty, Warren",2
"Hancock, John D.",1
"Nimoy, Leonard",1
"Zucker, Jerry",1
"Ouellette, Jean-Paul",1
"Quinn, James",1
"Robertson, John S.",1
"Aykroyd, Dan",1
"Grosbard, Ulu",1
"Gilliam, Terry",3
"Pabst, Georg Wilhelm",1
"Rydell, Mark",2
"Glatter, Lesli Linka",1
"Bridges, James",3
"Matthau, Charles",1
"McEveety, Vincent",1
"Saks, Gene",2
"Ashby, Hal",2
"Silverstein, Elliot",1
,253
"Needham, Hal",2
"Kuzui, Fran Rubel",1
"Silver, Joan Micklin",1
"Quine, Richard",1
"Molander, Gustav",2
"Schnitzer, Robert Allen",1
"De Palma, Brian",3
"Couturie, Bill",1
"Degas, Andre",1
"Bernhardt, Curtis",1
"Ruben, Katt Shea",1
"Seltzer, David",1
"Kikoine, Gerard",1
"Brickman, Marshall",1
"Palcy, Euzhan",1
"McGann, William",1
"Clark, Jim",1
"Heckerling, Amy",2
"Auer, John H.",1
"Sidaris, Andy",3
"Wilson, Hugh",1
"Chapman, Michael",2
"Masterson, Peter",1
"Ivory, James",2
"Lang, Fritz",11
"Thorpe, Richard",1
"Claxton, William F.",1
"Fellini, Federico",7
"Finch, Charles",1
"Hackford, Taylor",2
"Towne, Robert",1
"Pollack, Sydney",9
"Shatner, William",1
"King, George",1
"Sholder, Jack",1
"Lee, Spike",3
"S, Jeremiah",1
"Kiersch, Fritz",1
"Clayton, Jack",1
"Depardieu, G�rard",1
"McTiernan, John",2
"Chaffey, Don",1
"Faiman, Peter",1
"Jarmusch, Jim",3
"Reitman, Ivan",2
"Wimhurst, Jolyon",1
"Philips, Lee",1
"Stein, Ken",1
"Sayles, John",1
"Drury, David",1
"Curtis, Dan",2
"Smithey, Alan",1
"Lafia, John",1
"Gold, Greg",1
"Smight, Jack",1
"Bradley, Al",1
"Forman, Milos",3
"Englund, George",1
"Chaplin, Charles",1
"Lester, Richard",3
"Eastwood, Clint",14
"Minnelli, Vincente",5
"Romero, George A.",1
"Moxey, John Llewellyn",1
"Richards, Dick",2
"Troell, Jan",1
"Belson, Jerry",1
"Reis, Irving",1
"Allen, Craig",1
"Stanley, Paul",1
"Mizoguchi, Kenji",1
"Lommel, Ulli",1
"Cook, Fielder",2
"Ritchie, Michael",3
"Siodmak, Robert",1
"Dmytryk, Edward",3
"Budds, Colin",1
"Lean, David",1
"Zemeckis, Robert",1
"Hellman, Monte",2
"McEveety, Bernard",1
"Manning, Michelle",1
"Plone, Allen",1
"Serious, Yahoo",1
"Donen, Stanley",4
"Miller, Robert Ellis",3
"Sandrich, Jay",1
"Di Leo, Mario",1
"Peerce, Larry",1
"Mattoli, Mario",1
"Milius, John",4
"Crosland, Alan",1
"Griffi, Giuseppe Patroni",1
"DeCoteau, David",1
"Ford, Greg",1
"Berri, Claude",2
"King, Rick",1
"Robinson, John Mark",1
"Hoffs, Tamar Simon",1
"Cimino, Michael",4
"Boorman, John",3
"Winner, Michael",2
"Ford, Philip",7
"Edgren, Gustaf",1
"Martino, Sergio",1
"Weeks, Stephen",1
"Simon, S. Sylvan",1
"Heyes, Douglas",1
"Kubrick, Stanley",9
"Thomas, Dave",1
"Kalatozov, Mikhail",1
"Kennedy, Burt",1
"Heston, Charlton",1
"Thomas, Gerald",1
"Alda, Alan",2
"Caton-Jones, Michael",1
"Godard, Jean-Luc",2
"Tuchner, Michael",2
"Stevenson, Robert",1
"Zinnemann, Fred",3
"George, Peter",1
"Aslanian, Samson",1
"Ludman, Larry",2
"Cukor, George",5
"Cabanne, Christy",1
"Hardy, Rod",1
"Kulik, Buzz",1
"Leigh, Jason",1
"Castle, Nick",1
"Badham, John",2
"Mann, Anthony",2
"Sherman, Gary",1
"Rudolph, Alan",1
"Holland, Savage Steve",1
"Zucker, David",1
"Rush, Richard",1
"Daniel, Rod",2
"Avedis, Howard Hikmet",1
"Taylor, Don",4
"Barbash, Uri",1
"Poitier, Sidney",2
"Brando, Marlon",1
"Reiner, Rob",1
"Leo, Malcolm",1
"Perier, Etienne",1
"Quisenberry, Byron",1
"Hough, John",1
"Van Peebles, Mario",1
"Brooks, Mel",2
"Sheridan, Jim",1
"Dembo, Richard",1
"Brickman, Paul",2
"Vidor, Charles",3
"Verhoeven, Paul",2
"Day, Robert",1
"Hathaway, Henry",4
"Cocteau, Jean",1
"Meagher, John",1
"Cox, Alex",1
"Sagal, Boris",1
"Morahan, Christopher",1
"Anger, Kenneth",1
"LeRoy, Mervyn",2
"Carlsen, Henning",1
"Frankenheimer, John",3
"Malle, Louis",3
"Clark, Bob",1
"Lambert, Mary",2
"Schepisi, Fred",4
"Bolt, Ben",1
"Keshishian, Alek",1
"Flicker, Theodore J.",1
"Lester, Mark L.",1
"Lederman, Ross",1
"Freed, Mark",1
"Deutch, Howard",3
"Bahr, Fax",1
"Cameron, James",3
"Fukasaku, Kinji",1
"Fincher, David",1
"Young, Terence",1
"Aurel, Jean",1
"Herman, Mark",1
"Schatzberg, Jerry",1
"Cromwell, John",1
"Kaurism�ki, Mika",1
"Nichols, Mike",7
"Corneau, Alan",1
"Donner, Clive",2
"Surin, Fred",1
"Kershner, Irvin",3
"Stone, Oliver",8
"Lanza, Anthony M.",1
"Cooper, Jackie",2
"Jordan, Glenn",1
"Travis, Mark W.",1
"Stuart, Mel",1
"Fleming, Victor",2
"Streisand, Barbra",1
"Cannon, Raymond",1
"Seiter, William A.",2
"Dickerson, Ernest R.",1
"Zemeckis, Robert",2
"Douglas, Kirk",1
"Puenzo, Luiz",1
"Beineix, Jean-Jacques",2
"Harvey, Anthony",1
"Thompson, Brett",1
"King, Henry",1
"Byrne, David",1
"Anderson, Michael",1
"August, Bille",1
"Pevney, Joseph",1
"Jameson, Jerry",2
"Waris, Hussein",1
"Wharmby, Tony",1
"Graef, Roger",1
"Tourneur, Jacques",1
"Hill, Walter",2
"Nuytten, Bruno",1
"Wise, Robert",4
"Parrish, Robert",1
"Hook, Harry",1
"Murphy, Eddie",2
"Lumet, Sidney",7
"Taylor, Sam",3
"Kazan, Elia",3
"Rademakers, Fons",1
"Werner, Peter",1
"Wright, Thomas J.",1
"Welles, Orson",3
"Anspaugh, David",1
"Kagan, Jeremy Paul",2
"Garnett, Tay",1
"Locke, Sondra",2
"Higgin, Howard",1
"Ruggles, Wesley",1
"Nelson, Gary",1
"Seidelman, Susan",3
"Schroeder, Barbet",3
"Ruben, Joseph",1
"Ray, Nicholas",3
"Coen, Joel",1
"Nigh, William",1
"Joanou, Phil",2
"DeMille, Cecil B.",1
"Meyer, Nicholas",2
"London, Roy",1
"Brooks, James L.",1
"Haines, Randa",1
"Brooks, Albert",1
"Beebe, Ford",1
"Cohen, Martin B.",1
"Antonioni, Michelangelo",1
"Furie, Sidney J.",2
"Dinner, Michael",1
"Quinn, John",1
"Lynch, David",6
"Widerberg, Bo",1
"Levinson, Barry",4
"Ramis, Harold",1
"Bradbury, Robert N.",1
"Kadar, Jan",1
"Newman, Paul",4
"May, Elaine",1
"Lucas, George",2
"Lewicki, Steven Jon",1
"Bennett, Walter",1
"Scheerer, Robert",1
"Glaser, Paul Michael",1
"Allen, Woody",8
"Wilder, Gene",2
"Colla, Richard A.",2
"Gower, Bruce",1
"Scott, Tony",3
"Amateau, Rod",1
"Hill, George Roy",6
"Scorsese, Martin",8
"Bergman, Robert",1
"Barrett, Lezli-An",1
"Silver, Marisa",1
"Mandel, Robert",1
"Schaffner, Franklin J.",2
"Howard, William K.",1
"Landis, John",2
"Green, Alfred E.",1
"Stiller, Mauritz",1
"Renoir, Jean",1
"Noyce, Phillip",2
"Forbes, Bryan",2
"Trikonis, Gus",1
"Brown, Clarence",5
"Boulting, Roy",2
"Sebastian, Beverly",2
"Costner, Kevin",2
"Clement, Dick",1
"Marder, Bruce",1
"Taylor, Dan",1
"Haines, Fred",1
"Burton, Tim",1
"Gibson, Alan",1
"Wicki, Bernhard",1
"Young, Robert M.",1
"Clarke, Alan",2
"Menzel, Jiri",1
"Taylor, Jud",5
"Sarafian, Richard C.",1
"Patrick, John",1
"Towns, Philip Saville",1
"Mischer, Don",1
"Reed, Jerry",1
"Winkler, Irwin",1
"Zieff, Howard",2
"Beaudine, William",1
"Jones, Chris",1
"Polanski, Roman",2
"Duigan, John",1
"Hellman, Oliver",1
"Holzman, Allan",2
"Hitchcock, Alfred",34
"Koster, Henry",4
"Wrede, Caspar",1
"Chomsky, Marvin J.",1
"McBride, Jim",1
"Fanaka, Jamaa",1
"Guest, Val",1
"Haggard, Piers",1
"Morrissey, Paul",1
"Petrie, Daniel",1
"Bill, Tony",2
"Rafelson, Bob",2
"Guillermin, John",1
"Bunuel, Luis",1
"Jeunet, Jean-Pierre",1
"Guney, Yilmaz",1
"Collins, Lewis D.",2
"Lubitsch, Ernst",1
"Taylor, Baz",1
"Malick, Terrence",1
"Crichton, Michael",3
"Cl�ment, Ren�",1
"Weill, Claudia",1
"Kleiser, Randal",1
"DeVito, Danny",1
"Sharman, Jim",1
"Hudson, Hugh",1
"Theumer, Ernst R. von",1
"Carpenter, John",1
"Stockwell, John",1
"McLaglen, Andrew V.",7
"Green, Guy",2
"Miles, Christopher",1
"Dale, Cynthia",1
"Thompson, J. Lee",1
"Thomas, Ralph",1
"Dahlin, Bob",1
"Hallstr�m, Lasse",2
"Lattuada, Alberto",1
"Mackenzie, John",2
"Wilmington, Michael",1
"Mann, Daniel",2
"Rossen, Robert",1
"Barnard, Michael",1
"McGrath, Joseph",2
"Wilcox, Fred M",1
"Annakin, Ken",1
"Penn, Leo",1
"Taylor, Roderick",1
"De Sica, Vittorio",6
"Howson, Frank",1
"Pakula, Alan J.",6
"Sargent, Joseph",1
"Ford, Aleksander",1
"Miller, George",1
"Schrader, Paul",1
"Battersby, Roy",1
"Hooks, Kevin",1
"Loach, Ken",1
"Strock, Herbert L.",1
"Rochlin, Sheldon",1
"Curtiz, Michael",1
"Reeve, Geoffrey",1
"Ferrera, Abel",1
"Sherman, George",3
"Wendkos, Paul",1
"Weir, Peter",3
"Dassin, Jules",1
"Jackson, Donald G",2
"Lyne, Adrian",2
"Franklin, Sidney",1
"Spielberg, Steven",10
"Jordan, Neil",2
"Barreto, Bruno",1
"Webb, Millard",1
"Fosse, Bob",1
"Cosmatos, George P.",1
"Phillips, Maurice",1
"Miller, Stuart",1
"Frank, Melvin",1
"Yorkin, Bud",1
"Hopkins, Stephen",2
"Deruddere, Dominique",1
"Edzard, Christine",1
"Myerson, Alan",1
"Madsen, Kenneth",1
"Hobbs, Lyndall",1
"Winkler, Henry",1
"Oliansky, Joel",1
"Hughes, John",3
"Rohmer, Eric",1
"Farrow, John",1
"Magnoli, Albert",1
"Blot, Philippe",1
"Blancato, Ken",1
"Forsyth, Bill",1
"Hughes, Terry",1
"Hopper, Dennis",5
"King Keller, Frederick",1
"Daves, Delmer",2
"Coolidge, Martha",2
"Kotcheff, Ted",2
"Estevez, Emilio",1
"Olmos, Edward James",1
"Colmes, Walter",1
"Malmuth, Bruce",1
"Gibbins, Duncan",1
"Donaldson, Roger",4
"Anthony, Joseph",2
"Aldrich, Robert",5
"Leonard, Robert Z.",1
"Rayfield, David",1
"Hanson, Curtis",1
"Lucidi, Maurizio",1
"Pillsbury, Sam",1
"Benton, Robert",4
"Hyam, Peter",1
"Weis, Gary",1
"Stern, Sandor",2
"Zeffirelli, Franco",1
"Mate, Rudolph",2
"Lawton, J.F.",1
"Hickox, Douglas",1
"Mulligan, Robert",2
"Brand, Larry",1
"Amurri, Franco",1
"Baker, Graham",1
"Taylor, Gavin",1
"Purcell, Evelyn",1
"Ross, Herbert",9
"O'Connor, Pat",1
"Adolphson, Edvin",1
"Molander, Gustaf",3
"Sturges, John",3
"Kampmann, Steven",1
"Post, Ted",3
"Finkleman, Ken",1
"Attenborough, Richard",3
"Barker, Clive",1
"Jewison, Norman",4
"Avnet, John",1
"Figgis, Mike",1
"Gordon, Steve",1
"Clegg, Tom",1
"Bogner, Willy",1
"Gries, Tom",2
"Ritt, Martin",8
"Oz, Frank",1
"Rossi, Franco",1
"Miller, David",2
"Cronenberg, David",8
"Frears, Stephen",2
"Pearce, Richard",1
"Gilbert, Brian",2
"Kaczender, George",1
"Savoca, Nancy",1
"Wilder, Billy",1
"Stevens, George, Jr.",1
"Panama, Norman",2
"Demme, Jonathan",3
"Besson, Luc",4
"Hughes, Ken",1
"Edwards, Blake",7
"Russell, Ken",10
"Davis, Andrew",1
"Kaplan, Jonathan",1
"Marshall, Penny",1
"Scola, Ettore",1
"Rumar, Craig",1
"Friedkin, William",3
"Goulding, Edmund",2
"Higgins, Colin",1
"Lewis, Joseph H.",1
"Leone, Sergio",2
"Walton, Kip",2
"Heisler, Stuart",1
"Lelouch, Claude",3
"Konchalovsky, Andrei",3
"Resnais, Alain",2
"Vidor, King",1
"De Filippo, Eduardo",1
"Clair, Rene",1
"MacNaughton, Ian",1
"Coppola, Francis Ford",14
"Wyler, William",3
"Marquand, Richard",1
"Morneau, Louis",1
"Wenders, Wim",8
"Cammell, Donald",1
"Wajda, Andrzej",1
"Varda, Agnes",1
"Sherman, Vincent",1
"Hunter, Tim",1
"Babenco, Hector",3
"Schmoeller, David",1
"Kane, Joseph",2
"Gillard, Stuart",1
"Becker, Harold",1
"Zanussi, Krzystoff",2
"Spottiswoode, Roger",1
"Chelsom, Peter",1
"Boleslawski, Richard",1
"Wiemer, Robert",1
"Sanger, Jonathan",1
"Nelson, Ralph",1
"Bogdanovich, Peter",2
"De Bello, John",2
"Prior, David A.",1
"Rosenthal, Rick",2
"Pyun, Albert",1
"Teague, Lewis",1
"Pontecorvo, Gillo",1
"Ingvordsen, J. Christian",1
"Hulton, Brian G.",1
"Betnel, Jonathan",1
"Irvin, John",1
"Jarman, Derek",1
"Ford, John",24
"Conway, Jack",1
"Marshall, George",1
"Bakshi, Ralph",1
"Chouraqui, Elie",1
"Howard, Ron",2
"Katselas, Milton",1
"De Winter, Harry",1
"Soderbergh, Steven",1
"Arkush, Allan",1
"Sinise, Gary",1
"Rosenberg, Stuart",3
"Cannon, Dyan",1
"Florea, John",1
"Mann, Delbert",1
"Bergman, Andrew",3
"Ludwig, Edward",2
"Annaud, Jean-Jacques",2
"Rees, Jerry",1
"Haskin, Byron",2
"Byrum, John",2
"Parker, Alan",1
"Pialat, Maurice",2
"Dante, Joe",3
"Penn, Arthur",1
"Band, Charles",2
"Mamoulian, Rouben",1
"Foley, James",2
"Hunt, Peter R.",2
"Bonerz, Peter",1
"Imamura, Shohei",1
"Neame, Ronald",1
"Lloyd, Frank",1
"Bergman, Ingmar",29
"Siegel, Don",5
"Sevush, Herb",1
"Niblo, Fred",1
"Pytka, Joe",1
"Levy, Ralph",1
"Greenaway, Peter",2
"Houck, Joy, Jr.",1
"Benedek, Laslo",1
"Abrahams, Jim",2
"Donner, Richard",4
"Hamilton, Guy",3
"Sternberg, Josef von",1
"Lennon, Biddy W.",1
"Emes, Ian",1
"Neff, Thomas L.",1
"Holcomb, Rod",1
"Grant, James Edward",1
"Wayne, John",1
"Veber, Francis",2
"Caro, Marc",1
"Birch, Patricia",1
"Petrie, Donald",1
"Lindberg, Per",1
"Browning, Tod",1
"Negulesco, Jean",1
"Bourguignon, Serge",2
"Kramer, Stanley",2
"Reisz, Karel",1
"Oliver, Ron",1
"Schlesinger, John",4
"Mann, Michael",1
"Pal, George",1
"Bowser, Kenneth",1
"King, Stephen",1
"Harrington, Curtis",1
"Patterson, Richard",1
